sex,age,annhrs,annlabinc,degree,yrsexp,yrsftexp,yrsptexp,hrwage,race,job,region
1,28,1960,20200.0,0.0,10.0,10.0,0.0,10.30612278,2,5,0
1,57,2160,40000.0,1.0,38.0,32.0,6.0,18.51851845,2,11,0
1,45,2068,28600.0,0.0,27.0,27.0,0.0,13.82978725,2,20,2
1,34,1960,38000.0,0.0,13.0,13.0,0.0,19.38775444,2,15,0
1,36,2187,30000.0,2.0,16.0,16.0,0.0,13.71742153,2,11,1
1,45,1984,26397.0,0.0,26.0,22.0,4.0,13.30493927,2,5,3
1,43,1432,36450.0,2.0,25.0,19.0,6.0,25.45391083,2,14,1
1,34,2550,40000.0,0.0,12.0,12.0,0.0,15.68627453,0,15,0
1,40,2080,39812.0,2.0,8.0,8.0,0.0,19.14038467,2,18,0
1,47,1950,26000.0,0.0,28.0,28.0,0.0,13.33333302,2,12,2
1,43,2080,26000.0,0.0,25.0,20.0,5.0,12.5,2,5,2
1,45,2376,45860.0,0.0,27.0,27.0,0.0,19.30134773,2,16,0
1,26,1470,22500.0,0.0,4.0,2.0,2.0,15.30612278,2,5,3
1,29,2600,46000.0,1.0,8.0,3.0,5.0,17.69230843,2,11,2
1,33,2340,29000.0,0.0,12.0,11.0,1.0,12.39316273,2,7,0
1,36,2080,50000.0,0.0,11.0,8.0,3.0,24.03846169,2,17,2
1,32,2040,30000.0,0.0,13.0,12.0,1.0,14.70588207,0,0,2
1,57,2313,40000.0,0.0,32.0,32.0,0.0,17.29355812,2,20,1
1,30,1952,18000.0,0.0,12.0,12.0,0.0,9.221311569,0,13,2
1,37,2304,16000.0,0.0,19.0,19.0,0.0,6.944444656,2,15,2
1,33,2490,65000.0,0.0,10.0,5.0,5.0,26.1044178,2,0,0
1,53,2024,41500.0,0.0,34.0,31.0,3.0,20.50395203,2,4,1
1,63,2520,32000.0,0.0,39.0,39.0,0.0,12.6984129,2,20,2
1,35,1984,18000.0,0.0,16.0,13.0,3.0,9.072580338,2,12,0
1,26,2080,4000.0,0.0,8.0,8.0,0.0,1.923076868,0,20,2
1,35,1960,45000.0,1.0,13.0,6.0,7.0,22.95918274,0,6,2
1,43,1820,29000.0,0.0,24.0,23.0,1.0,15.93406582,0,20,1
1,28,2550,18400.0,0.0,8.0,7.0,1.0,7.215686321,2,12,2
1,37,1631,3300.0,0.0,17.0,16.0,1.0,2.023298502,0,15,2
1,37,1912,12000.0,0.0,18.0,18.0,0.0,6.276150703,0,12,2
1,57,1320,14000.0,0.0,39.0,38.0,1.0,10.60606098,2,11,1
1,43,2000,65000.0,1.0,19.0,10.0,9.0,32.5,0,6,3
1,36,1992,27147.0,0.0,18.0,18.0,0.0,13.6280117,2,16,0
1,62,2000,25000.0,0.0,37.0,36.0,1.0,12.5,2,13,2
1,32,2000,33000.0,0.0,13.0,11.0,2.0,16.5,2,13,0
1,39,1163,40000.0,1.0,21.0,13.0,8.0,34.39381027,2,17,0
1,27,2572,12000.0,0.0,9.0,7.0,2.0,4.665629864,2,15,3
1,26,1960,22000.0,0.0,5.0,4.0,1.0,11.22449017,0,7,0
1,40,2827,36600.0,0.0,19.0,14.0,5.0,12.94658661,2,18,3
1,26,1750,20000.0,0.0,6.0,4.0,2.0,11.4285717,0,20,2
1,42,1634,33000.0,0.0,18.0,18.0,0.0,20.19583893,2,15,2
1,27,1990,35000.0,0.0,4.0,2.0,2.0,17.58794022,1,13,3
1,31,1970,30000.0,0.0,8.0,8.0,0.0,15.22842598,0,20,2
1,35,2040,68000.0,1.0,8.0,7.0,1.0,33.33333206,2,0,2
1,35,1060,24000.0,1.0,16.0,11.0,5.0,22.64151001,2,18,1
1,43,2600,40000.0,1.0,18.0,18.0,0.0,15.38461494,2,17,2
